QNO,Q1,Q2,Q3,Q4,Q5a,Q5b,Q5c,Q5d,Q5e,Q5f,Q5g,Q5h,Q5i,Q6,Q7a,Q7b,Q7c,Q7d,Q7e,Q7f,Q8a,Q8b,Q8c,Q8d,Q9,Q10,Q11,Q12,Q13,Q14
1,1,2,1,1,1,2,4,3,3,3,3,3,4,1,4,2,4,3,3,2,0,97,3,0,2,3,2,1,2,3
2,1,3,3,1,1,3,3,4,3,3,4,3,4,3,3,3,3,3,3,3,5,90,5,0, ,3,2,1,2,5
3,1,3,1,0,1,2,3,4,4,4,4,4,4,2,4,3,4,4,4,3,0,90,10,0,4,4,2,1,4,3
4,1,2,1,1,1,3,3,4,4,4,4,3,4,3,3,3,4,2,2,2,0,100,0,0,3,3,2,1,4,3
5,0, , , , , , , , , , , , , , , , , , , , , , , ,3,2,2,0,4,5
6,1,3,2,1,1,3,3,4,4,4,4,3,3,3,1,1,1,3,3,2,5,60,35,0,3,4,2,0,2,3
7,1,2,1,0,1,1,3,3,3,4,3,2,3,1,3,4,1,4,3,2,0,90,10,0,3,3,2,0,4,3
8,1,3,1,0,1,4,4,4,4,4,4,4,4,4,2,3,4,4,3,3,0,100,0,0,3,3,2,1,4,3
9,1,3,1,2,1,3,3,4,4,4,4,4,4,3,3,4,3,4,3,2,0,70,30,0,3,3,2,1,4,3
10,1,2,1,2,1,3,3,3,3,3,3,3,3,3,3,4,4,2,3,3,0,80,20,0,3,4,2,0,4,4
11,1,1,3,1,1,3,3,4,4,4,4,4,4,3,3,4,3,2,4,4,30,70,0,0,3,3,4,1,2,4
12,1,2,1,2,1,3,3,4,4,4,4,2,4,3,3,3,2,2,3,3,80,20,0,0,3,3,2,1,4,3
13,1,2,1,2,1,2,2,4,4,4,4,3,3,3,3,3,4,3,4,3,3,94,2,1,4,4,2,0,4,3
14,1,3,4,1,1,4,3,4,4,4,4,4,3,1,3,4,4,3,2,1,0,99,1,0,3,3,2,0,2,3
15,1,2,4,2,1,3,2,4,3,3,4,3,4,2,3,3,3,2,2,2,0,100,0,0,4,3,2,0,4,4
16,1,4,1,1,2,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,0,100,0,0,3,3,1,1,4,4
17,1,3,1,1,1,3,4,4,4,4,4,4,4,2,3,3,4,3,3,3,0,100,0,0,4,3,1,1,4,3
18,1,2,1,1,1,1,1,4,3,4,4,4,3,4,2,3,1,4,3,2,40,50,8,2,3,4,2,0,3,3
19,1,3,1,1,1,3,3,4,4,4,4,3,4,3,1,1,1,4,3,1,50,50,0,0,4,4,2,0,4,3
20,1,3,1,0,1,1,4,4,4,3,4,4,4,3,3,4,1,2,1,1,50,50,0,0,3,4,2,1,4,3
21,1,1,1,0,1,1,3,3,3,3,3,3,4,2,3,4,3,2,3,1,20,70,10,0,3,3,2,1,4,3
22,1,2,2,1,1,2,4,4,4,4,4,3,4,3,4,3,3,1,2,1,0,10,90,0,4,4,4,1,2,3
23,1,3,1,1,1,4,4,4,2,2,4,1,4,4,4,4,4,4,4,4,0,90,10,0,3,3,1,0,2,4
24,1,2,2,0,3,1,4,4,4,4,4,3,4,2,3,4,1,4,4,3,0,100,0,0,3,3,1,1,4,3
25,1,4,2,2,1,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,0,100,0,0,2,3,2,1,2,3
26,1,2,1,2,3,4,3,4,4,4,4,3,4,3,3,4,3,3,3,3,2,88,5,5,3,3,2,0,4,5
27,1,2,1,1,1,3,4,4,4,4,4,2,4,2,3,4,3,4,4,1,0,90,10,0,4,3,2,1,4,3
28,1,3,2,1,1,4,4,4,2,3,2,1,4,3,4,3,4,4,3,3,0,30,70,0,3,3,2,1,2,3
29,1,3,2,1,1,3,4,4,4,4,4,3,4,4,4,4,2,2,3,2,0,100,0,0,3,3,2,1,3,2
30,1,3,1,1,1,3,3,4,3,4,4,3,4,3,4,4,3,3,4,3,0,100,0,0,3,3,2,1,4,3
31,1,3,12,2,2,4,4,4,4,3,3,3,4,2,3,4,4,4, , ,0,90,10,0,4,3,2,0,2,3
32,1,1,.2,0,1,1,3,4,2,4,4,3,3,0,2,2,3,1,4,3,0,100,0,0,2,2,2,1,3,3
33,1,2,1,0,1,2,3,4,4,3,4,3,4,2,4,2,3,4,4,3,0,90,10,0,4,4,1,0,3,3
34,1,2,1,1,1,3,2,3,3,4,4,3,4,2,3,4,1,1,1,1,0,10,90,0,3,4,2,1,3,3
35,1,4,2,1,1,3,4,4,4,4,4,3,4,2,2,3,4,4,4,3,5,90,5,0,3,4,4,0,4,4
36,1,2,1,0,1,1,3,3,3,3,3,2,3,2,3,3,1,2,3,2,0,95,5,0,4,3,2,0,4,3
37,0, , , , , , , , , , , , , , , , , , , , , , , ,4,4,2,0,4,4
38,1,2,.5,1,1,2,4,4,3,4,4,3,3,3,3,4,2,1,2,2,5,90,5,0,3,2,2,0,4,3
39,1,3,4,1,1,3,4,4,4,4,4,3,4,3,3,2,2,3,4,3,0,100,0,0,4,3,1,0,2,5
40,1,2,2,0,1,1,1,4,4,4,3,1,1,3,1,4,3,4,3,2,0,90,0,10,1,2,2,0,4,3
41,1,2,2,0,1,1,3,4,3,3,3,3,3,2,4,3,3,3,3, ,0,100,0,0,4,3,2,1,4,3
42,1,2,1,1,1,3,3,4,4,4,4,3,4,3,3,4,3,1,3,1,70,30,0,0,4,2,2,0,4,3
43,1,2,3,2,1,3,4,4,4,4,4,3,3,3,2,4,2,3,3, ,0,100,0,0,4,2,2,0,2,3
44,1,2,2,1,2,2,4,4,4,4,4,2,4,1,2,3,2,3,4,2,0,100,0,0,3,4,4,1,2,3
45,1,3,2,2,4,2,2,4,4,4,4,4,4,3,1,4,1,4,4,4,5,40,40,15,4,4,4,0,3,4
46,1,1,1,2,1,3,3,4,4,4,4,2,2,3,3,4,1,1,1,1,5,90,5,0,3,4,2,1,4,3
47,1,2,1,1,1,2,2,4,4,4,4,3,2,2,3,3,3,3,3,3,1,98,1,0,3,4,2,0,2,4
48,1,2,1,1,1,2,3,4,3,3,3,3,4,2,2,4,4,4,3,3,0,90,10,0,3,4,2,0,4,3
49,0, , , , , , , , , , , , , , , , , , , , , , , ,3,4,2,0,4,3
50,0, , , , , , , , , , , , , , , , , , , , , , , ,4,4,2,0,4,4
51,0, , , , , , , , , , , , , , , , , , , , , , , ,4,4,2,0,4,3
52,1,3,2,1,1,3,3,4,3,3,3,3,4,3,3,3,2,2,2,2,25,75,0,0,2,3,2,0,2,4
53,1,3,1,1,1,3,3,4,3,3,4,2,4,3,4,3,1,2,3,2,0,95,5,0,3,3,2,1,4,3
54,0, , , , , , , , , , , , , , , , , , , , , , , ,4,3,2,0,4,3
55,1,2,1,1,3,3,4,4,3,4,4,4,4,3,3,4,2,3,4,2,0,100,0,0,3,2,2,1,3,4
56,1,1,1,0,2,2,4,4,4,4,4,4,4,2,3,4,4,2,4,4,50,10,30,10,2,2,3,1,3,5
57,1,2,1,1,1,1,4,4,4,4,4,4,4,4,1,4,2,2,4,2,0,75,25,0,3,3,2,0,4,5
58,1,2,1,1,2,4,4,4,4,4,4,4,4,3,1,4,2,1,3, ,0,80,20,0,3,2,2,0,4,4
59,1,1,1,1,1,2,3,4,4,4,4,3,3,2,3,3,3,3,3,2,1,97,2,0,3,4,2,0,4,4
60,1,3,1,2,1,4,4,4,3,3,4,3,3,2,2,3,4,3,4,3,30,70,0,0,4,4,2,0,4,3
61,1,3,1,1,1,4,3,4,3,3,4,3,4,3,3,3,3,2,2,1,0,100,0,0,3,3,1,1,4,5
62,1,2,1,0,1,1,1,4,3,3,4,4,3,3,1,2,3,1,4,2,0,90,10,0,3,4,2,1,4,3
63,1,2,2,0,1,3,3,4,4,4,4,4,4,2,3,3,3,3,3,3,0,100,0,0,4,3,2,0,4,3
64,1,2,1,1,1,3,3,4,2,3,4,3,4,2,4,2,4,3,4, ,0,100,0,0,3,2,2,1,4,5
65,1,1,1,1,1,3,3,3,3,3,3,2,3,2,1,2,3,3,3,1,0,100,0,0,4,3,2,1,4,3
66,1,1,1,1,1,3,2,4,3,4,3,3,3,2,4,4,3,2,2,2,0,90,10,0,4,4,2,0,4,3
67,1,2,1,2,1,2,3,4,4,4,4,4,4,4,3,3,3,3,4,4,5,90,5,0,3,4,1,1,4,3
68,1,3,1,1,1,1,1,3,3,3,3,3,4,3,3,2,4,2,3,1,0,50,50,0,2,4,1,1,4,3
